"proj_id","risk_spectrum","spec_code","proj_retail_type"
"M0263_2563","","","R"
"M0264_2551","","FIF","R"
"M0264_2563","","","R"
"M0265_2547","","LTF","R"
"M0265_2563","","","R"
"M0265_2565","","","B"
"M0266_2554","","SPF","R"
"M0266_2563","","","R"
"M0267_2549","","","R"
"M0267_2552","","FIF,SPF","R"
"M0267_2554","","SPF","R"
"M0267_2555","","CPF","R"
"M0267_2558","","SPF","R"
"M0267_2560","","","R"
"M0267_2563","","","R"
"M0268_2552","","FIF,SPF","R"
"M0268_2560","","","R"
"M0268_2563","","","R"
"M0270_2552","","FIF,SPF","R"
"M0271_2552","","FIF,SPF","R"
"M0271_2555","","FIF,SPF","R"
"M0271_2556","","SPF","R"
"M0271_2563","","","H"
"M0272_2552","","FIF,SPF","R"
"M0272_2553","","FIF,SPF","R"
"M0272_2558","","FIF,SPF","H"
"M0273_2557","","FIF,SPF","R"
"M0273_2558","","FIF,SPF","H"
"M0273_2562","RS4","","R"
"M0274_2557","","FIF,SPF","H"
"M0274_2558","","FIF,SPF","H"
"M0274_2560","","FF","R"
"M0274_2562","RS4","","R"
"M0275_2554","","SPF","R"
"M0275_2557","","FIF,SPF","H"
"M0275_2559","","SPF","H"
"M0275_2562","RS4","","R"
"M0277_2561","RS4","","R"
"M0277_2566","","","R"
"M0278_2561","RS4","","R"
"M0278_2562","","FED","X"
"M0278_2563","","","R"
"M0278_2564","","CIV,FF","R"
"M0279_2550","","","R"
"M0279_2557","","","R"
"M0279_2560","","FF","R"
"M0279_2563","","","R"
"M0279_2564","","CIV,FF","R"
"M0280_2547","","",""
"M0280_2557","","FIF,SPF","H"
"M0280_2561","","","R"
"M0280_2563","","","R"
"M0280_2564","","CIV,FF","R"
"M0281_2557","","FIF,SPF","R"
"M0281_2560","","FF","R"
"M0281_2563","","","H"
"M0281_2564","","CIV,FF","R"
"M0282_2557","","FIF,SPF","H"
"M0282_2560","","FF","R"
"M0282_2564","","CIV,FF","R"
